City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,20.05,90,100,3.6,US,1723150292
1,mirny,62.5353,113.9611,14.68,68,11,1.49,RU,1723150293
2,camana,-16.6228,-72.7111,16.25,81,63,4.76,PE,1723150294
3,tiksi,71.6872,128.8694,5.83,90,100,5.21,RU,1723150296
4,miri,4.4148,114.0089,25.08,94,40,2.57,MY,1723150297
5,puerto natales,-51.7236,-72.4875,11.25,58,75,8.23,CL,1723150299
6,adamstown,-25.066,-130.1015,21.57,79,58,10.44,PN,1723150301
7,port-aux-francais,-49.35,70.2167,1.97,77,92,8.73,TF,1723150302
8,chonchi,-42.6128,-73.8092,7.67,88,99,0.73,CL,1723150303
9,bredasdorp,-34.5322,20.0403,11.85,89,66,3.92,ZA,1723150305
10,geraldton,-28.7667,114.6,9.23,93,0,4.63,AU,1723150306
11,grytviken,-54.2811,-36.5092,-12.78,74,17,7.06,GS,1723150307
12,bridgewater,44.3835,-64.5155,25.06,64,15,4.12,CA,1723150308
13,saipan,15.1355,145.701,28.39,83,0,1.54,MP,1723150311
14,flying fish cove,-10.4217,105.6791,24.82,88,100,7.2,CX,1723150312
15,mount isa,-20.7333,139.5,11.87,47,0,3.09,AU,1723150313
16,fort mcmurray,56.7268,-111.381,24.77,29,0,2.06,CA,1723150315
17,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,100,75,2.0,RU,1723150316
18,ulladulla,-35.35,150.4667,11.67,67,100,3.84,AU,1723150317
19,badger,64.8,-147.5333,20.95,65,75,4.63,US,1723150319
20,sierra grande,-41.606,-65.3557,10.86,34,6,7.98,AR,1723150321
21,waitangi,-43.9535,-176.5597,9.9,95,85,2.68,NZ,1723150323
22,katsuren-haebaru,26.3369,127.8719,27.83,89,0,2.06,JP,1723150324
23,olonkinbyen,70.9221,-8.7187,5.33,98,100,4.28,SJ,1723150325
24,georgetown,5.4112,100.3354,28.97,65,20,2.06,MY,1723150197
25,thompson,55.7435,-97.8558,18.09,48,75,4.63,CA,1723150328
26,saint-pierre,-21.3393,55.4781,21.82,73,0,6.69,RE,1723150329
27,la palma,33.8464,-118.0467,28.78,61,20,4.63,US,1723150330
28,formosa,-26.1775,-58.1781,16.09,47,4,2.68,AR,1723150224
29,whangarei,-35.7317,174.3239,9.91,92,10,1.39,NZ,1723150333
30,jamestown,42.097,-79.2353,24.8,83,100,4.12,US,1723150334
31,blackmans bay,-43.0167,147.3167,9.85,67,77,1.34,AU,1723150335
32,dunedin,-45.8742,170.5036,6.0,82,44,2.0,NZ,1723150337
33,velingara,13.15,-14.1167,25.43,92,100,3.36,SN,1723150338
34,albany,42.6001,-73.9662,18.48,74,100,3.63,US,1723150339
35,edinburgh of the seven seas,-37.0676,-12.3116,14.84,94,100,17.03,SH,1723150341
36,hermanus,-34.4187,19.2345,13.3,89,96,11.6,ZA,1723150344
37,noosa heads,-26.3833,153.15,16.62,81,40,5.48,AU,1723150345
38,wailua homesteads,22.0669,-159.378,27.44,72,20,4.63,US,1723150346
39,kailahun,8.2833,-10.5667,21.11,98,100,1.62,SL,1723150348
40,kodiak,57.79,-152.4072,12.73,82,100,4.12,US,1723150349
41,susuman,62.7833,148.1667,10.93,77,80,1.17,RU,1723150350
42,el calafate,-50.3408,-72.2768,4.04,87,35,2.62,AR,1723150095
43,iskateley,67.6803,53.1512,6.41,83,7,2.03,RU,1723150354
44,atafu village,-8.5421,-172.5159,28.53,75,99,8.68,TK,1723150355
45,xique xique,-10.8217,-42.7311,26.71,47,0,0.04,BR,1723150356
46,birjand,32.8663,59.2211,28.26,11,0,4.12,IR,1723150358
47,vilyuchinsk,52.9306,158.4028,13.5,98,100,0.66,RU,1723150359
48,lihue,21.9789,-159.3672,27.77,70,20,4.63,US,1723150360
49,quelimane,-17.8786,36.8883,22.97,88,0,3.13,MZ,1723150361
50,talnakh,69.4865,88.3972,7.36,79,3,1.97,RU,1723150363
51,hawaiian paradise park,19.5933,-154.9731,27.63,75,100,2.06,US,1723150364
52,borogontsy,62.6683,131.1683,12.86,71,50,1.11,RU,1723150365
53,nadym,65.5333,72.5167,5.68,87,69,4.38,RU,1723150366
54,ushuaia,-54.8,-68.3,4.81,81,20,2.57,AR,1723150368
55,kapuskasing,49.4169,-82.4331,16.05,88,100,5.14,CA,1723150369
56,zaozersk,69.4005,32.4476,14.44,52,23,3.31,RU,1723150370
57,san patricio,28.017,-97.5169,35.69,40,1,6.0,US,1723150372
58,yellowknife,62.456,-114.3525,21.9,53,20,7.72,CA,1723150373
59,colonia,50.9333,6.95,20.51,74,0,2.06,DE,1723150374
60,manay,7.215,126.5397,24.15,81,100,1.85,PH,1723150375
61,cabo san lucas,22.8909,-109.9124,32.64,58,100,4.02,MX,1723150377
62,alofi,-19.0595,-169.9187,23.94,53,75,6.69,NU,1723150378
63,sinan,34.8262,126.1086,25.36,80,78,2.42,KR,1723150379
64,enewetak,11.3474,162.3373,28.84,76,24,7.03,MH,1723150381
65,klyavlino,54.2649,52.0267,16.08,86,27,1.33,RU,1723150382
66,taoudenni,22.6783,-3.9836,39.53,6,0,6.68,ML,1723150385
67,naze,28.3667,129.4833,26.43,84,0,2.45,JP,1723150386
68,bilibino,68.0546,166.4372,10.02,50,26,1.1,RU,1723150387
69,wenling,28.3669,121.36,26.83,89,78,3.05,CN,1723150389
70,ribeira grande,38.5167,-28.7,25.43,73,20,1.03,PT,1723150390
71,pasighat,28.0667,95.3333,24.62,99,99,0.96,IN,1723150391
72,vernon,50.2581,-119.2691,32.74,23,0,1.54,CA,1723150392
73,daru,-9.0763,143.2092,24.39,89,58,7.11,PG,1723150394
74,pakse,15.1167,105.7833,24.21,96,59,1.5,LA,1723150395
75,callao,-12.0667,-77.15,16.16,82,100,3.6,PE,1723150014
76,babol,36.5513,52.679,25.03,79,65,1.44,IR,1723150397
77,sandnessjoen,66.0217,12.6316,16.06,100,75,1.54,NO,1723150399
78,kinkala,-4.3614,14.7644,22.7,59,28,2.3,CG,1723150400
79,caiaponia,-16.9567,-51.8103,27.71,22,3,2.23,BR,1723150401
80,qui nhon,13.7667,109.2333,26.77,78,89,2.27,VN,1723150403
81,luderitz,-26.6481,15.1594,13.36,72,0,3.3,NA,1723150404
82,longyearbyen,78.2186,15.6401,11.91,87,0,1.54,SJ,1723150405
83,lebu,-37.6167,-73.65,9.5,72,16,4.12,CL,1723150407
84,itoman,26.1247,127.6694,29.01,84,0,3.6,JP,1723150408
85,papao,-17.75,-149.55,25.49,83,5,4.0,PF,1723150409
86,punta del este,-34.9667,-54.95,9.37,78,31,4.92,UY,1723150410
87,remire-montjoly,4.9167,-52.2667,27.02,78,75,1.54,GF,1723150226
88,smithers,54.7804,-127.1743,28.18,30,0,1.54,CA,1723150413
89,kone,-21.0595,164.8658,20.79,69,6,1.72,NC,1723150414
90,avarua,-21.2078,-159.775,23.03,53,100,3.6,CK,1723150416
91,ciudad melchor muzquiz,27.8833,-101.5167,39.14,19,7,4.04,MX,1723150417
92,agogo,6.8,-1.0819,20.8,92,55,2.38,GH,1723150418
93,ust-nera,64.5667,143.2,12.66,77,96,1.73,RU,1723150419
94,na klang,17.3072,102.1889,24.56,91,7,1.85,TH,1723150421
95,kamaishi,39.2667,141.8833,23.63,85,33,1.47,JP,1723150422
96,belmonte,-15.8631,-38.8828,22.04,72,1,2.64,BR,1723150423
97,vila franca do campo,37.7167,-25.4333,22.18,75,0,2.27,PT,1723150425
98,uturoa,-16.7333,-151.4333,25.75,81,5,2.91,PF,1723150426
99,tremp,42.167,0.8949,25.38,49,0,1.74,ES,1723150427
100,whitehorse,60.7161,-135.0538,24.43,41,0,6.17,CA,1723150428
101,chibougamau,49.9168,-74.3659,19.79,56,20,3.09,CA,1723150430
102,takoradi,4.8845,-1.7554,23.15,88,98,3.67,GH,1723150222
103,barra de santo antonio,-9.4047,-35.5072,24.06,75,33,4.73,BR,1723150432
104,papatowai,-46.5619,169.4708,6.01,85,50,1.35,NZ,1723150433
105,bacuyangan,9.637,122.4721,25.7,88,100,0.72,PH,1723150435
106,lubang,13.8584,120.124,29.01,78,99,6.64,PH,1723150436
107,harper,4.375,-7.7169,23.76,78,100,2.86,LR,1723150325
108,happy valley-goose bay,53.3168,-60.3315,18.17,48,75,3.09,CA,1723150439
109,ventspils,57.3894,21.5606,16.96,100,0,0.51,LV,1723150440
110,fort bragg,35.139,-79.006,25.91,89,100,4.63,US,1723150441
111,haugesund,59.4138,5.268,14.14,82,40,4.63,NO,1723150443
112,iqaluit,63.7506,-68.5145,11.85,81,100,3.6,CA,1723150444
113,akureyri,65.6835,-18.0878,8.96,81,75,5.66,IS,1723150445
114,alice springs,-23.7,133.8833,7.75,76,0,3.09,AU,1723150447
115,bubaque,11.2833,-15.8333,26.56,81,100,5.63,GW,1723150448
116,mount gambier,-37.8333,140.7667,5.71,100,34,2.29,AU,1723150449
117,jiwani,25.05,61.7417,27.78,82,29,3.39,PK,1723150451
118,ola,59.5833,151.2833,13.55,83,98,1.16,RU,1723150452
119,abengourou,6.7297,-3.4964,21.56,91,100,1.72,CI,1723150453
120,tura,25.5198,90.2201,23.68,98,100,3.15,IN,1723150455
121,holualoa,19.6228,-155.9522,26.04,81,40,3.6,US,1723150456
122,verkhnevilyuysk,63.4453,120.3167,12.48,69,4,1.49,RU,1723150457
123,stanley,54.868,-1.6985,16.4,93,20,2.06,GB,1723150459
124,kangding,30.0513,101.9603,18.34,94,98,0.8,CN,1723150461
125,klyuchi,52.2667,79.1667,18.52,84,80,1.17,RU,1723150462
126,san antonio de pale,-1.4014,5.6325,22.83,83,100,3.39,GQ,1723150463
127,mount pearl,47.5166,-52.7813,23.19,38,75,6.69,CA,1723150464
128,ingraj bazar,25.0,88.15,26.46,92,100,3.68,IN,1723150466
129,hasaki,35.7333,140.8333,27.29,88,0,4.26,JP,1723150467
130,port elizabeth,-33.918,25.5701,14.16,92,0,4.12,ZA,1723150468
131,manjakandriana,-18.9167,47.8,10.95,92,83,2.09,MG,1723150470
132,howrah,22.5892,88.3103,28.0,94,75,3.6,IN,1723150471
133,aiken,33.5835,-81.5998,27.33,69,75,4.12,US,1723150472
134,kayangel,8.0823,134.7173,28.69,71,100,3.52,PW,1723150474
135,marquette,46.5333,-87.6335,20.46,78,55,4.02,US,1723150476
136,broken hill,-31.95,141.4333,9.15,66,100,0.46,AU,1723150478
137,college,64.8569,-147.8028,20.6,70,100,3.09,US,1723150479
138,kavaratti,10.5669,72.642,26.93,83,83,4.19,IN,1723150480
139,tindouf,27.6711,-8.1474,42.25,9,40,7.2,DZ,1723150482
140,anadyr,64.75,177.4833,7.28,81,75,1.0,RU,1723150484
141,rustaq,23.3908,57.4244,31.31,71,30,1.32,OM,1723150485
142,laghouat,33.8,2.8651,33.76,19,37,6.36,DZ,1723150486
143,kolonia town,6.964,158.206,26.06,94,40,2.06,FM,1723150488
144,karasu mahallesi,41.071,30.7854,21.67,84,0,2.42,TR,1723150490
145,caleta de carquin,-11.0925,-77.6267,18.5,76,49,4.53,PE,1723150492
146,guerrero negro,27.9769,-114.0611,27.59,48,0,7.26,MX,1723150493
147,palmer,42.1584,-72.3287,20.29,84,100,1.54,US,1723150312
